"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2026-09-22T05:45:04.814+09:00"
"RESULT_INF"
"TOTAL_NUMBER","600"
"FROM_NUMBER","1"
"TO_NUMBER","600"
"TABLE_INF","0003060791"
"STAT_NAME","00350600","法人企業統計調査"
"GOV_ORG","00350","財務省"
"STATISTICS_NAME","法人企業統計調査 時系列データ"
"TITLE","1","時系列データ 金融業、保険業以外の業種(原数値)"
"CYCLE","年度次"
"SURVEY_DATE","202504-202603"
"OPEN_DATE","2026-09-01"
"SMALL_AREA","0"
"COLLECT_AREA","該当なし"
"MAIN_CATEGORY","07","企業・家計・経済"
"SUB_CATEGORY","01","企業活動"
"OVERALL_TOTAL_NUMBER","7479609"
"UPDATED_DATE","2026-09-01"
"STATISTICS_NAME_SPEC","法人企業統計調査","時系列データ","","","",""
"TITLE_SPEC","時系列データ","金融業、保険業以外の業種(原数値)","","","",""
"NOTE","*","計算結果が値を持たない項目"
"VALUE"
"cat01_code","調査項目 (金融業、保険業以外の業種)","cat02_code","業種 (金融業、保険業以外の業種)","cat03_code","規模 (金融業、保険業以外の業種)","time_code","年  期","unit","value","annotation"
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20230","2023年度","百万円","443189820",""
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20240","2024年度","百万円","451309546",""
"045","売上高(当期末)","144","非製造業","19","1千万円以上 - 1億円未満","20250","2025年度","百万円","467147086",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20160","2016年度","百万円","109064265",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20170","2017年度","百万円","126252180",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20180","2018年度","百万円","120905312",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20190","2019年度","百万円","116267986",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20200","2020年度","百万円","110778846",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20210","2021年度","百万円","114706506",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20220","2022年度","百万円","133414628",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20230","2023年度","百万円","150243150",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20240","2024年度","百万円","157320197",""
"045","売上高(当期末)","144","非製造業","16","1千万円未満","20250","2025年度","百万円","157605998",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20160","2016年度","百万円","58728333",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20170","2017年度","百万円","67444032",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20180","2018年度","百万円","67729516",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20190","2019年度","百万円","55162642",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20200","2020年度","百万円","41632021",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20210","2021年度","百万円","54215583",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20220","2022年度","百万円","63264978",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20230","2023年度","百万円","75585445",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20240","2024年度","百万円","84802919",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","26","全規模","20250","2025年度","百万円","93468454",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20160","2016年度","百万円","31129658",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20170","2017年度","百万円","36004816",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20180","2018年度","百万円","37526705",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20190","2019年度","百万円","30850321",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20200","2020年度","百万円","25781913",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20210","2021年度","百万円","34793189",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20220","2022年度","百万円","37681051",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20230","2023年度","百万円","43466149",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20240","2024年度","百万円","48495379",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","25","10億円以上","20250","2025年度","百万円","52145655",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20160","2016年度","百万円","10324725",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20170","2017年度","百万円","11495660",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20180","2018年度","百万円","12171090",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20190","2019年度","百万円","10248768",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20200","2020年度","百万円","8859330",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20210","2021年度","百万円","11924371",""
"048","営業利益(当期末)","104","全産業（除く金融保険業）","24","1億円以上 - 10億円未満","20220","2022年度","百万円","12970538",""
